 Schema: cron_v2 | Table: Outpass | Column: checkedInTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outpass | Column: currentLevel | Type: text
 Schema: cron_v2 | Table: Outpass | Column: approvalLogs | Type: jsonb
 Schema: cron_v2 | Table: _prisma_migrations | Column: id | Type: character varying
 Schema: cron_v2 | Table: _prisma_migrations | Column: checksum | Type: character varying
 Schema: cron_v2 | Table: _prisma_migrations | Column: finished_at | Type: timestamp with time zone
 Schema: cron_v2 | Table: _prisma_migrations | Column: migration_name | Type: character varying
 Schema: cron_v2 | Table: _prisma_migrations | Column: logs | Type: text
 Schema: cron_v2 | Table: _prisma_migrations | Column: rolled_back_at | Type: timestamp with time zone
 Schema: cron_v2 | Table: _prisma_migrations | Column: started_at | Type: timestamp with time zone
 Schema: cron_v2 | Table: _prisma_migrations | Column: applied_steps_count | Type: integer
 Schema: files_v2 | Table: Attendance | Column: id | Type: text
 Schema: files_v2 | Table: Attendance | Column: studentId | Type: text
 Schema: files_v2 | Table: Attendance | Column: subjectId | Type: text
 Schema: files_v2 | Table: Attendance | Column: semesterId | Type: text
 Schema: files_v2 | Table: Attendance | Column: totalClasses | Type: integer
 Schema: files_v2 | Table: Attendance | Column: attendedClasses | Type: integer
 Schema: files_v2 | Table: Attendance | Column: createdAt | Type: timestamp without time zone
 Schema: files_v2 | Table: Attendance | Column: updatedAt | Type: timestamp without time zone
 Schema: files_v2 | Table: Grade | Column: id | Type: text
 Schema: files_v2 | Table: Grade | Column: studentId | Type: text
 Schema: files_v2 | Table: Grade | Column: subjectId | Type: text
 Schema: files_v2 | Table: Grade | Column: semesterId | Type: text
 Schema: files_v2 | Table: Grade | Column: grade | Type: double precision
 Schema: files_v2 | Table: Grade | Column: createdAt | Type: timestamp without time zone
 Schema: files_v2 | Table: Grade | Column: updatedAt | Type: timestamp without time zone
 Schema: files_v2 | Table: Subject | Column: id | Type: text
 Schema: files_v2 | Table: Subject | Column: code | Type: text
 Schema: files_v2 | Table: Subject | Column: name | Type: text
 Schema: files_v2 | Table: Subject | Column: credits | Type: integer
 Schema: files_v2 | Table: Subject | Column: department | Type: text
 Schema: files_v2 | Table: Subject | Column: semester | Type: text
 Schema: files_v2 | Table: _prisma_migrations | Column: id | Type: character varying
 Schema: files_v2 | Table: _prisma_migrations | Column: checksum | Type: character varying
 Schema: files_v2 | Table: _prisma_migrations | Column: finished_at | Type: timestamp with time zone
 Schema: files_v2 | Table: _prisma_migrations | Column: migration_name | Type: character varying
 Schema: files_v2 | Table: _prisma_migrations | Column: logs | Type: text
 Schema: files_v2 | Table: _prisma_migrations | Column: rolled_back_at | Type: timestamp with time zone
 Schema: files_v2 | Table: _prisma_migrations | Column: started_at | Type: timestamp with time zone
 Schema: files_v2 | Table: _prisma_migrations | Column: applied_steps_count | Type: integer
 Schema: outpass_v2 | Table: AuthCredential | Column: id | Type: text
 Schema: outpass_v2 | Table: AuthCredential | Column: username | Type: text
 Schema: outpass_v2 | Table: AuthCredential | Column: passwordHash | Type: text
 Schema: outpass_v2 | Table: AuthCredential | Column: role | Type: text
 Schema: outpass_v2 | Table: AuthCredential | Column: createdAt | Type: timestamp without time zone
 Schema: outpass_v2 | Table: AuthCredential | Column: updatedAt | Type: timestamp without time zone
 Schema: outpass_v2 | Table: AuthCredential | Column: isDisabled | Type: boolean
 Schema: outpass_v2 | Table: Grievance | Column: id | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: studentId | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: studentEmail | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: category | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: description | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: isAnonymous | Type: boolean
 Schema: outpass_v2 | Table: Grievance | Column: status | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: resolvedBy | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: resolution | Type: text
 Schema: outpass_v2 | Table: Grievance | Column: resolvedAt | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Grievance | Column: createdAt | Type: timestamp without time zone
 Schema: outpass_v2 | Table: Outing | Column: id | Type: text
 Schema: outpass_v2 | Table: Outing | Column: studentId | Type: text
 Schema: outpass_v2 | Table: Outing | Column: studentGender | Type: text
 Schema: outpass_v2 | Table: Outing | Column: reason | Type: text
 Schema: outpass_v2 | Table: Outing | Column: fromTime | Type: timestamp without time zone
